Date,SST,Source
2025-08-31,29.28,Historical
2025-09-01,29.12,Historical
2025-09-02,28.93,Historical
2025-09-03,29.01,Historical
2025-09-04,29.01,Historical
2025-09-05,28.953,Historical
2025-09-06,28.946,Historical
2025-09-07,28.947,Predicted
2025-09-08,28.915,Predicted
2025-09-09,28.91,Predicted
2025-09-10,28.918,Predicted
2025-09-11,28.913,Predicted
2025-09-12,28.912,Predicted
2025-09-13,28.907,Predicted
